Пеле 
Йохан Кройф 
Франц Беккенбауэр 
Альфредо Ди Стефано 
Диего Марадона 
Ференц Пушкаш 
Мишель Платини 
Гарринча 
Эйсебио 
Бобби Чарльтон 
Стэнли Мэтьюз 
Марко ван Бастен 
Герд Мюллер 
Зико 
Лотар Маттеус 
Джордж Бест
Хуан Альберто Скьяффино 
Рууд Гуллит 
Диди 
Джанни Ривера 
Джузеппе Меацца 
Маттиас Синделар 
Фриц Вальтер 
Бобби Мур 
Хосе Мануэль Морено 
Уго Санчес 
Джордж Веа 
Роже Милла 
Хосе Леандро Андраде 
Жюст Фонтен 
Франсиско Хенто 
Ладислав Кубала 
Франко Барези 
Йозеф Бицан 
КарлХайнц Румменигге 
Омар Сивори 
Элиас Фигероа 
Кевин Киган 
Шандор Кочиш 
Эктор Скароне 
Йозеф Масопуст 
Джачинто Факкетти 
Раймон Копа 
Алессандро «Сандро» Маццола 
Уве Зеелер 
Гуннар Нордаль
Зизиньо 
Теофило Кубильяс 
Арсенио Эрико
Денис Лоу
Сильвио Пиола 
Адольфо Педернера 
Обдулио Хасинто Варела 
Артур Фриденрайх 
Дании Микаэль Лаудруп 
Спенсер 
Йожеф Божик 
Тостао 
Эрнст Оцвирк 
Поль ван Химст
Чха Бом Гын
Рабах Маджер 
Лахдар Беллуми 
Олег Блохин
Луис Кубилья 
Маджид Абдулла 
Джордж Веа 
Роже Милла 
Абеди Пеле
Лахдар Беллуми 
Рабах Маджер 
Теофиль Абега 
Лоран Поку 
Франсуа ОмамБийик 
Ахмед Фарас 
Финиди Джордж 
Калуша Бвалиа
Махмуд ЭльХатиб
Яфет Н’Дорам 
Юсеф Фофана 
Абдель Азиз Будербала 
Тарек Диаб
Рашиди Йекини 
Даниэль Амокачи 
Ларби Бен Барек 
Али Бенчех 
Сегун Одегбами 
Ибрагим Юсуф
Тахар АбуЗеид
Петит Сорри
Энтони Йебоа
Эммануэль Амунике 
Тшимен Бванга
Али Абугрейсма
Папа Камара
Мохаммед Тимуми 
Карим Абдул Разак
Шериф Сулейман
Нванкво Кану 
Виктор Икпеба 
Жан Манга Онгене 
Бенгали Силла
Магди Абдельгани
Опоку (Н'Ти) Африйе
Етефе Какото
Роберт Менса
Хани Рамзи
Мохаммед Кейта
Джамел Лалмас 
Адольф Арма
Салах Ассао 
Марк Фиш 
Салиф Кейта
СержАлаин Магуи 
Пол Мукила
Сандей Олисе 
Ибрахим Сандей
Чха Бом Гын
Ким Джусон
Маджид Абдулла 
Кадзуёси Миура
Кунисигэ Камамото
Саид АльОвайран 
Али Даеи 
Ходадад Азизи 
Ахмед Рахди 
Карим Багери 
Чхве Сунхо
Масами Ихара
Прадип Кумар Банерджи
Кувейта Фейсал АдДахиль 
Али Парвин 
Фань Чжии
Хон Мён Бо
Ясухико Окудэра
Пьяпонг Пьеоун
Хассан Ровшан 
Пак Ду Ик
Израиля Ави Кохен 
Чхон Хэвон
Гу Гуанмин
Хуссейн Саид 
Натипонг СритонгИн
Фахад АльБиши 
Хван Сонхон
Ахмад Фанди
Мохтар Дахари 
Аднан атТальяни
Уго Санчес 
Луис де ла Фуэнте 
Карлос Мануэль Эрмосильо 
Орасио Касарин Гарсиласо 
Рауль Карденас де ла Вега 
Билли Гонсалвес 
Сальвадор Рейес Монтеон 
Хулио Сесар Дели Вальдес 
Брюс Уилсон 
Хорхе Альберто Гонсалес Барильяс
Маурисио Сьенфуэгос
Эрик Винальда 
Уолтер Бар 
Хесус дель Муро 
Рауль Игнасио Диас Арсе
Алехандро Морера
Марио Лопес 
Густаво Пенья 
Марсело Бальбоа 
Боб Ленардуцци 
Оскар Энрике «Конехо» Санчес
Бенхамин Галиндо Марентес 
Рональд Гомес
Хуан Карлос Плата
Хильберто Йервуд 
Дуайт Йорк 
Хуан Карреньо 
Рохер Гомес
Хосе Рафаэль Меса
Николас Суасо 
Хорхе Рольдан
Луис Эрнесто Тапиа 
Йохан Кройф 
Франц Беккенбауэр 
Альфредо Ди Стефано 
Ференц Пушкаш 
Мишель Платини 
Эйсебио 
Бобби Чарльтон 
Стэнли Мэтьюз 
Герд Мюллер 
Марко Ван Бастен 
Джордж Бест
Джанни Ривера 
Маттиас Синделар 
Фриц Вальтер 
Джузеппе Меацца 
Джачинто Факкетти 
Бобби Мур 
Раймон Копа 
Уве Зеелер 
Франко Барези 
Руд Гуллит 
Олег Блохин
Шандор Кочиш 
Ладислао Кубала 
Дании Микаэль Лаудруп 
Алессандро «Сандро» Маццола 
Франсиско Хенто 
Йозеф Бицан 
Сильвио Пиола 
Кевин Киган 
Эрнст Оцвирк 
Лотар Маттеус 
Йожеф Божик 
Жюст Фонтен 
КарлХайнц Румменигге 
Гуннар Нордаль
Денис Лоу
Йожеф Масопуст 
Поль ван Химст
Георги Аспарухов 
Паоло Росси 
Джимми Гривз 
Луиджи Рива 
Имре Шлоссер 
Стив Блумер 
Збигнев Бонек 
Кенни Далглиш
Дании Алан Симонсен 
Эдуард Стрельцов
Герхард Ханаппи 
Луис Суарес Мирамонтес 
Уильям «Дикси» Дин 
Роберто Баджо 
Казимеж Дейна 
Драган Джаич 
Георге Хаджи
Гаэтано Ширеа 
Нильс Лидхольм
Гуннар Грен
Мариу Колуна 
Дьердь Шароши 
Томми Лоутон 
Христо Стоичков 
Деннис Бергкамп 
Раймонд Брейн
Томас «Том» Финни 
Гари Линекер 
Джимми Макгрори
Герберт Прохазка 
Эрик Кантона 
Карл Коллер 
Паоло Мальдини 
Лиам Брейди
Нандор Хидегкути 
Тони Польстер 
Жан Тигана 
Бернард Вукас 
Вивьен Джон Вудворд 
Руди Крол 
Деян Савичевич 
Роберто Беттега 
Алекс Джеймс
Карел Пешек «Када» 
Флориан Альберт 
Пауль Брайтнер 
Эмилио Бутрагеньо 
Уильям Джон Чарльз 
Рональд Куман 
Всеволод Бобров
Хьюи Галлахер
Влодзимеж Любаньский 
Драган Стойкович 
Николае Добрин
Гюнтер Нетцер 
Иан Раш 
Джон Кэри
Рихард Хофман 
Северино Минелли
Вольфганг Оверат 
Гжегож Лято 
Фриц Шепан 
Пеле 
Диего Армандо Марадона 
Альфредо Ди Стефано
Гарринча 
Хосе Мануэль Морено 
Хуан Альберто Скьяффино 
Зико 
Арсенио Пастор Эрико
Элиас Фигероа 
Зизиньо 
Луис Кубилья 
Адольфо Педернера 
Артур Фриденрайх 
Тостао 
Обдулио Хасинто Варела 
Омар Сивори 
Теофило Кубильяс 
Валдир Перейра «Диди» 
Виллингтон Ортис 
Хосе Леандро Андраде 
Эктор Скароне 
ЭквадораАльберто Спенсер 
Марио Альберто Кемпес 
Энцо Франческоли 
Леонидас да Силва 
Анхель Амадео Лабруна 
Хосе Насасси 
Нилтон Сантос 
Роналдо 
Ромарио 
Пауло Роберто Фалькао 
Роберто Ривелино 
Марсело Салас 
Адемир да Гия 
Эктор Чумпитас 
Даниэль Альберто Пассарелла 
Луис Эдмундо Перейра 
Педро Верхилио Роча 
Карлос Вальдеррама 
Карлос Алберто Торрес 
Леонель Санчес 
Иван Саморано 
Домингос да Гия 
Адемир 
Хосе Педро Сеа 
Раймундо Орси 
Амадео Каррисо 
Хосе Луис Чилаверт
Убальдо Фильоль 
Жилмар 
Ладислао Мазуркевич 
Роке Гастон Масполи 
Уго Орландо Гатти 
Рене Игита 
Серхио Роберто Ливингстон 
Эмерсон Леао 
Моасир Барбоза 
Роберто Антонио Рохас 
Родольфо Серхио Родригес 
Америко Тесориере 
Манга Аилтон 
Андрес Масали 
Антонио Рома 
Уинтон Руфер 
Фрэнк Фарина 
Кристиан Карамбё 
Джо Марстон 
Джон Космина 
Алан Эдвард Дэвидсон 
Пол Окон 
Роберт «Робби» Слейтер 
Реджинальд «Рег» Дейт 
Эдвард «Эдди» Крнчевич 
Пол Уэйд 
Крейг Петер Джонстон 
Стэн Лазаридис 
Дэвид Митчелл
Кеннет Армстронг 
Эрролл Беннетт
